Customer,State,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size
LP69867,Oregon,No,Extended,High School or Below,1/12/2011,Unemployed,M,0,Suburban,Single,82,15,82,0,1,Personal Auto,Personal L3,Offer1,Agent,590.4,Four-Door Car,Medsize
BX88330,Washington,No,Basic,College,1/19/2011,Employed,F,90918,Urban,Single,64,22,19,0,2,Personal Auto,Personal L2,Offer3,Agent,163.411884,Four-Door Car,Medsize
QQ86648,Oregon,No,Basic,High School or Below,1/20/2011,Employed,M,78834,Suburban,Married,72,14,20,2,8,Personal Auto,Personal L1,Offer2,Call Center,345.6,Two-Door Car,Small
VE80757,Oregon,No,Basic,Bachelor,1/22/2011,Unemployed,M,0,Suburban,Single,62,27,14,0,3,Personal Auto,Personal L1,Offer3,Branch,434.26667,Two-Door Car,Medsize
BE69929,Arizona,No,Basic,College,2/1/2011,Employed,F,27872,Urban,Married,61,19,78,0,3,Personal Auto,Personal L3,Offer2,Branch,186.857059,Two-Door Car,Medsize
BM31989,Arizona,No,Premium,College,2/18/2011,Employed,M,24012,Rural,Married,112,30,91,1,3,Personal Auto,Personal L3,Offer2,Agent,82.211282,Four-Door Car,Medsize
HW27766,Arizona,No,Extended,College,2/6/2011,Medical Leave,M,16367,Suburban,Married,94,2,99,0,9,Personal Auto,Personal L3,Offer1,Branch,515.569363,Four-Door Car,Medsize
BC90645,California,No,Basic,Master,2/1/2011,Employed,F,55479,Rural,Single,68,5,7,1,1,Personal Auto,Personal L2,Offer2,Branch,117.964245,Four-Door Car,Medsize
GC36679,Oregon,No,Extended,High School or Below,1/25/2011,Employed,M,40778,Suburban,Single,86,1,59,0,1,Personal Auto,Personal L3,Offer2,Web,412.8,Four-Door Car,Medsize
VI74176,Arizona,No,Extended,High School or Below,2/22/2011,Unemployed,M,0,Suburban,Single,137,22,68,3,6,Personal Auto,Personal L1,Offer2,Agent,1532.080871,SUV,Medsize
BX24569,California,Yes,Basic,Bachelor,1/7/2011,Unemployed,M,0,Suburban,Married,102,28,11,0,1,Personal Auto,Personal L2,Offer2,Agent,660.430456,SUV,Medsize
DR32525,Arizona,No,Extended,College,2/25/2011,Unemployed,M,0,Suburban,Single,96,29,22,4,2,Personal Auto,Personal L3,Offer3,Agent,460.8,Four-Door Car,Medsize
CP76842,Nevada,No,Extended,College,2/14/2011,Employed,F,95438,Rural,Married,83,25,76,0,1,Corporate Auto,Corporate L3,Offer2,Call Center,99.223092,Two-Door Car,Medsize
IH20118,Oregon,Yes,Basic,High School or Below,2/26/2011,Medical Leave,M,12430,Suburban,Single,73,22,13,0,4,Personal Auto,Personal L3,Offer2,Call Center,350.4,Four-Door Car,Medsize
DA20472,California,Yes,Basic,High School or Below,2/17/2011,Employed,M,95697,Rural,Married,107,29,29,0,9,Personal Auto,Personal L3,Offer2,Agent,178.006524,Sports Car,Medsize
DN67273,Oregon,No,Basic,High School or Below,1/8/2011,Unemployed,F,0,Suburban,Single,74,26,84,0,2,Personal Auto,Personal L3,Offer1,Agent,532.8,Two-Door Car,Small
ZZ20738,California,No,Basic,High School or Below,1/28/2011,Employed,F,28108,Suburban,Married,114,6,27,0,3,Personal Auto,Personal L2,Offer4,Agent,547.2,Sports Car,Medsize
AS18084,California,Yes,Basic,College,1/26/2011,Medical Leave,F,25370,Suburban,Married,102,10,77,0,2,Personal Auto,Personal L2,Offer1,Branch,489.6,Sports Car,Large
FY21364,California,No,Basic,Bachelor,2/22/2011,Unemployed,M,0,Suburban,Single,105,31,85,0,5,Corporate Auto,Corporate L1,Offer2,Agent,756,SUV,Medsize
LL73047,California,No,Basic,High School or Below,1/26/2011,Disabled,F,28672,Suburban,Divorced,71,14,34,0,2,Personal Auto,Personal L2,Offer1,Branch,340.8,Four-Door Car,Medsize
CG15505,California,Yes,Extended,Master,2/20/2011,Employed,F,22705,Suburban,Divorced,239,19,59,0,7,Personal Auto,Personal L3,Offer2,Agent,1294.700423,Luxury SUV,Medsize
ZZ22047,Washington,Yes,Basic,Bachelor,1/13/2011,Employed,M,67798,Suburban,Divorced,69,1,78,0,9,Corporate Auto,Corporate L3,Offer1,Agent,331.2,Four-Door Car,Medsize
NG56399,Arizona,No,Basic,High School or Below,1/7/2011,Employed,M,61367,Suburban,Divorced,70,7,85,0,2,Personal Auto,Personal L2,Offer3,Branch,498.533231,Two-Door Car,Medsize
MD45928,Arizona,Yes,Premium,High School or Below,2/1/2011,Employed,F,59207,Suburban,Single,116,23,21,0,2,Personal Auto,Personal L3,Offer1,Agent,556.8,Four-Door Car,Medsize
OV29928,Washington,No,Basic,College,2/24/2011,Employed,F,67423,Urban,Married,65,24,0,0,9,Corporate Auto,Corporate L3,Offer3,Agent,293.308765,Four-Door Car,Medsize
OR28030,California,Yes,Basic,Bachelor,1/17/2011,Employed,M,35095,Suburban,Divorced,73,25,56,0,2,Corporate Auto,Corporate L3,Offer2,Call Center,525.6,Two-Door Car,Small
LO48748,Oregon,No,Extended,Master,1/30/2011,Employed,F,26380,Rural,Single,96,29,70,0,4,Personal Auto,Personal L1,Offer2,Web,177.36984,Four-Door Car,Large
FX95323,Oregon,No,Basic,College,1/31/2011,Employed,M,88731,Rural,Married,66,10,72,0,1,Personal Auto,Personal L3,Offer4,Agent,148.971857,Four-Door Car,Medsize
AG85127,Oregon,No,Basic,Bachelor,1/14/2011,Employed,M,61409,Urban,Married,68,30,80,0,2,Special Auto,Special L3,Offer3,Web,264.040157,Four-Door Car,Medsize
JN33628,California,No,Premium,Bachelor,2/22/2011,Unemployed,M,0,Suburban,Married,167,30,40,0,5,Personal Auto,Personal L3,Offer2,Branch,1985.999807,SUV,Small
QU69375,Nevada,Yes,Extended,High School or Below,1/1/2011,Unemployed,M,0,Suburban,Single,79,21,53,1,7,Corporate Auto,Corporate L2,Offer1,Agent,407.440238,Two-Door Car,Medsize
FM37864,California,No,Extended,Bachelor,1/9/2011,Employed,F,74931,Urban,Divorced,89,13,16,0,1,Personal Auto,Personal L2,Offer1,Agent,230.84972,Two-Door Car,Large
IL23615,Oregon,No,Extended,College,2/21/2011,Employed,M,74770,Suburban,Single,86,23,10,0,1,Personal Auto,Personal L2,Offer2,Branch,412.8,Four-Door Car,Large
FZ44411,Arizona,No,Extended,Bachelor,1/30/2011,Unemployed,M,0,Suburban,Married,95,14,81,5,1,Corporate Auto,Corporate L2,Offer2,Call Center,619.267164,Four-Door Car,Medsize
JE32215,California,No,Premium,Bachelor,2/14/2011,Employed,F,44299,Rural,Married,107,0,73,0,2,Personal Auto,Personal L2,Offer2,Branch,180.085807,Two-Door Car,Medsize
FQ88964,Arizona,No,Basic,College,2/25/2011,Unemployed,M,0,Suburban,Single,71,22,10,1,1,Personal Auto,Personal L2,Offer3,Call Center,390.498822,Two-Door Car,Large
WW22291,California,No,Basic,Master,2/16/2011,Employed,M,63326,Suburban,Divorced,72,2,34,0,1,Personal Auto,Personal L2,Offer2,Call Center,361.564021,Four-Door Car,Medsize
EV39637,Oregon,No,Basic,High School or Below,2/12/2011,Unemployed,F,0,Suburban,Single,73,12,42,0,7,Personal Auto,Personal L1,Offer1,Branch,794.445585,Four-Door Car,Medsize
TG36139,California,No,Extended,High School or Below,2/10/2011,Disabled,F,21720,Suburban,Single,128,5,7,0,1,Corporate Auto,Corporate L1,Offer4,Branch,837.905079,SUV,Medsize
XN25550,Oregon,No,Extended,College,1/2/2011,Employed,M,55571,Suburban,Married,135,4,46,0,1,Personal Auto,Personal L2,Offer4,Agent,904.813121,SUV,Medsize
NG94966,California,No,Basic,College,2/27/2011,Employed,M,34759,Suburban,Divorced,61,30,84,0,1,Personal Auto,Personal L3,Offer2,Agent,302.353842,Four-Door Car,Large
AD28349,Arizona,No,Basic,High School or Below,2/23/2011,Unemployed,M,0,Suburban,Divorced,68,18,81,0,3,Personal Auto,Personal L3,Offer1,Call Center,352.130674,Four-Door Car,Medsize
VZ56705,Oregon,No,Basic,Bachelor,2/25/2011,Employed,M,38638,Suburban,Married,74,5,84,0,2,Personal Auto,Personal L2,Offer1,Agent,355.2,Four-Door Car,Medsize
TQ82322,California,No,Basic,Bachelor,2/19/2011,Employed,F,80927,Urban,Single,62,25,8,0,1,Personal Auto,Personal L2,Offer2,Branch,211.660971,Two-Door Car,Medsize
CB77819,California,No,Basic,High School or Below,2/10/2011,Unemployed,M,0,Suburban,Single,65,33,1,0,3,Personal Auto,Personal L3,Offer1,Web,585.454243,Two-Door Car,Medsize
VG68427,Arizona,No,Basic,High School or Below,2/17/2011,Employed,M,81914,Urban,Married,70,6,33,0,6,Corporate Auto,Corporate L2,Offer4,Branch,198.75466,Four-Door Car,Medsize
WO42164,Oregon,No,Extended,High School or Below,2/7/2011,Unemployed,M,0,Suburban,Single,92,9,24,0,3,Personal Auto,Personal L3,Offer1,Call Center,662.4,Four-Door Car,Medsize
NL87371,Oregon,No,Basic,Bachelor,1/23/2011,Unemployed,M,0,Suburban,Divorced,72,28,64,0,1,Personal Auto,Personal L3,Offer4,Web,345.6,Two-Door Car,Medsize
QW24080,Oregon,No,Basic,College,1/3/2011,Unemployed,F,0,Suburban,Single,74,5,75,4,1,Personal Auto,Personal L2,Offer3,Branch,369.822544,Four-Door Car,Large
ZL53118,Arizona,No,Basic,High School or Below,2/1/2011,Unemployed,M,0,Suburban,Single,69,14,10,1,1,Personal Auto,Personal L3,Offer1,Branch,757.89114,Four-Door Car,Medsize
GT19025,Oregon,No,Extended,Bachelor,1/23/2011,Medical Leave,F,25407,Urban,Divorced,98,2,88,0,1,Personal Auto,Personal L1,Offer1,Branch,284.239719,Four-Door Car,Medsize
VN44400,California,No,Basic,College,2/4/2011,Employed,F,86073,Urban,Married,70,2,96,0,3,Personal Auto,Personal L2,Offer3,Branch,291.587866,Two-Door Car,Medsize
JF45126,Nevada,No,Basic,Bachelor,1/18/2011,Employed,M,23818,Suburban,Married,104,6,1,1,1,Personal Auto,Personal L2,Offer2,Branch,499.2,SUV,Medsize
SW94040,Oregon,No,Extended,College,2/22/2011,Employed,F,21326,Suburban,Divorced,99,22,9,0,3,Personal Auto,Personal L1,Offer1,Agent,632.765462,Four-Door Car,Medsize
XI36396,California,No,Extended,Bachelor,1/18/2011,Retired,M,18486,Suburban,Married,86,24,95,0,1,Personal Auto,Personal L2,Offer3,Agent,412.8,Four-Door Car,Medsize
CL38926,Oregon,No,Basic,Bachelor,2/15/2011,Medical Leave,M,10458,Suburban,Single,102,11,29,0,4,Corporate Auto,Corporate L3,Offer2,Call Center,489.6,SUV,Medsize
CU10179,California,No,Extended,College,1/14/2011,Employed,F,82528,Rural,Married,131,10,65,0,1,Personal Auto,Personal L1,Offer2,Agent,258.036918,Sports Car,Small
BK57087,California,No,Basic,College,1/1/2011,Employed,F,38223,Suburban,Married,112,27,18,2,1,Personal Auto,Personal L3,Offer3,Branch,537.6,SUV,Medsize
LF94282,Nevada,No,Basic,Bachelor,1/2/2011,Employed,M,63438,Rural,Married,72,32,67,0,1,Personal Auto,Personal L2,Offer2,Branch,36.732923,Two-Door Car,Medsize
BO46265,Oregon,No,Extended,College,2/18/2011,Medical Leave,M,13432,Suburban,Married,92,5,82,0,8,Personal Auto,Personal L3,Offer1,Branch,610.567945,Four-Door Car,Small
VJ45879,California,No,Premium,Bachelor,1/28/2011,Employed,M,26848,Rural,Married,114,10,50,0,1,Personal Auto,Personal L1,Offer4,Agent,100.557495,Two-Door Car,Medsize
FR12423,Oregon,Yes,Basic,Bachelor,1/26/2011,Medical Leave,M,14072,Suburban,Divorced,71,13,3,0,2,Personal Auto,Personal L3,Offer1,Agent,511.2,Four-Door Car,Medsize
IY87065,California,Yes,Basic,Bachelor,1/21/2011,Employed,F,28909,Suburban,Married,66,15,66,0,8,Corporate Auto,Corporate L1,Offer1,Agent,456.702735,Two-Door Car,Medsize
LR49944,Nevada,No,Basic,Doctor,2/25/2011,Employed,F,35159,Rural,Married,68,0,73,0,1,Personal Auto,Personal L3,Offer1,Agent,150.501033,Two-Door Car,Large
LU40443,Oregon,No,Basic,Master,2/12/2011,Employed,M,64255,Urban,Single,70,7,36,0,8,Personal Auto,Personal L2,Offer2,Web,193.86537,Four-Door Car,Medsize
HN54181,California,No,Extended,College,2/9/2011,Unemployed,F,0,Suburban,Single,84,8,30,0,7,Personal Auto,Personal L1,Offer3,Agent,604.8,Four-Door Car,Small
GC52187,Nevada,No,Extended,College,2/23/2011,Employed,F,88842,Urban,Married,90,32,42,0,1,Personal Auto,Personal L2,Offer4,Branch,350.75997,Two-Door Car,Large
FH22095,California,No,Basic,College,2/7/2011,Employed,M,39377,Suburban,Married,64,7,53,0,1,Corporate Auto,Corporate L3,Offer2,Branch,307.2,Two-Door Car,Small
KY55245,California,Yes,Basic,High School or Below,2/26/2011,Medical Leave,M,12430,Suburban,Single,73,22,13,0,4,Personal Auto,Personal L3,Offer2,Call Center,350.4,Four-Door Car,Medsize
ST43920,Arizona,Yes,Basic,Doctor,1/27/2011,Disabled,F,21986,Suburban,Divorced,63,1,9,0,1,Personal Auto,Personal L3,Offer2,Branch,333.696228,Two-Door Car,Medsize
GG84614,Oregon,No,Extended,High School or Below,1/8/2011,Employed,F,27435,Suburban,Single,76,9,6,0,1,Personal Auto,Personal L3,Offer3,Branch,455.545318,Two-Door Car,Medsize
JW94491,California,Yes,Basic,College,1/3/2011,Retired,M,25251,Suburban,Divorced,66,13,43,0,2,Personal Auto,Personal L2,Offer2,Web,316.8,Four-Door Car,Medsize
EW51866,Arizona,No,Extended,College,1/24/2011,Employed,F,29881,Rural,Married,85,27,95,0,6,Personal Auto,Personal L2,Offer1,Call Center,17.92017,Four-Door Car,Medsize
KU13616,California,Yes,Premium,Bachelor,2/16/2011,Disabled,F,11885,Suburban,Divorced,101,18,39,0,2,Personal Auto,Personal L2,Offer1,Agent,484.8,Four-Door Car,Medsize
CB15842,California,No,Basic,High School or Below,2/16/2011,Employed,M,40420,Suburban,Married,104,2,10,0,7,Special Auto,Special L3,Offer1,Agent,499.2,SUV,Medsize
RN66968,California,No,Basic,High School or Below,1/3/2011,Employed,M,74837,Suburban,Married,66,9,18,0,7,Personal Auto,Personal L3,Offer2,Agent,376.502488,Four-Door Car,Large
IQ30108,Oregon,No,Extended,High School or Below,1/28/2011,Employed,M,67591,Urban,Married,77,2,78,0,1,Special Auto,Special L2,Offer3,Agent,198.080417,Four-Door Car,Medsize
VB23257,Oregon,No,Basic,Bachelor,1/5/2011,Employed,M,47590,Rural,Single,119,14,25,0,1,Special Auto,Special L3,Offer1,Branch,121.327914,SUV,Medsize
CV13878,California,No,Basic,High School or Below,2/1/2011,Employed,F,75474,Suburban,Married,62,12,7,0,1,Personal Auto,Personal L3,Offer2,Call Center,297.6,Two-Door Car,Medsize
FD14790,Oregon,No,Extended,Bachelor,2/10/2011,Employed,M,57177,Suburban,Married,92,14,51,0,2,Personal Auto,Personal L1,Offer4,Branch,441.6,Four-Door Car,Small
VZ61940,Nevada,No,Basic,Doctor,2/7/2011,Employed,F,52344,Urban,Married,66,4,7,0,1,Personal Auto,Personal L3,Offer3,Agent,182.607687,Four-Door Car,Small
PX66705,California,No,Basic,High School or Below,1/22/2011,Employed,F,20072,Suburban,Married,70,26,34,0,2,Personal Auto,Personal L3,Offer2,Agent,487.814322,Four-Door Car,Medsize
XG66314,California,No,Basic,College,1/15/2011,Employed,M,33604,Urban,Married,105,5,80,0,2,Personal Auto,Personal L3,Offer1,Branch,357.618596,SUV,Medsize
ZM40672,Oregon,No,Basic,Master,1/11/2011,Unemployed,F,0,Suburban,Single,61,2,76,0,2,Corporate Auto,Corporate L3,Offer2,Agent,292.8,Two-Door Car,Small
VF21523,Nevada,No,Basic,High School or Below,1/18/2011,Employed,F,37741,Suburban,Single,74,3,59,0,1,Corporate Auto,Corporate L3,Offer2,Web,355.2,Two-Door Car,Small
OM50417,Arizona,No,Extended,Bachelor,2/16/2011,Employed,F,48471,Rural,Married,83,5,20,1,2,Personal Auto,Personal L2,Offer1,Call Center,208.904212,Four-Door Car,Medsize
SO54368,Oregon,Yes,Basic,College,2/12/2011,Employed,M,58089,Suburban,Married,118,31,83,0,1,Personal Auto,Personal L2,Offer1,Agent,566.4,SUV,Medsize
XZ62430,Arizona,Yes,Extended,Bachelor,2/14/2011,Retired,M,27681,Suburban,Married,83,13,62,0,9,Personal Auto,Personal L3,Offer2,Agent,398.4,Two-Door Car,Medsize
RZ51338,Arizona,No,Basic,Bachelor,1/24/2011,Retired,M,28992,Suburban,Divorced,74,3,90,4,2,Personal Auto,Personal L3,Offer2,Branch,355.2,Four-Door Car,Medsize
NV13794,Nevada,No,Basic,High School or Below,2/9/2011,Employed,F,55986,Urban,Married,119,3,60,0,9,Personal Auto,Personal L1,Offer1,Agent,388.506303,SUV,Small
JB23570,California,No,Extended,College,2/12/2011,Employed,M,94042,Suburban,Married,132,13,67,0,9,Corporate Auto,Corporate L2,Offer4,Branch,633.6,SUV,Medsize
MH24522,California,No,Basic,College,2/14/2011,Unemployed,M,0,Suburban,Married,101,11,34,0,3,Personal Auto,Personal L2,Offer1,Call Center,563.284331,Sports Car,Small
TD78032,Washington,No,Basic,High School or Below,2/14/2011,Unemployed,M,0,Suburban,Single,67,19,70,0,1,Corporate Auto,Corporate L1,Offer4,Call Center,482.4,Four-Door Car,Medsize
WW41496,Nevada,No,Extended,Bachelor,1/1/2011,Employed,F,70164,Urban,Divorced,88,34,3,0,2,Personal Auto,Personal L3,Offer2,Agent,375.401079,Two-Door Car,Medsize
IF32545,Nevada,Yes,Basic,Master,1/28/2011,Disabled,F,22886,Suburban,Divorced,65,9,81,0,3,Corporate Auto,Corporate L3,Offer1,Agent,312,Four-Door Car,Small
HF72557,Washington,No,Extended,Bachelor,2/6/2011,Medical Leave,M,19948,Suburban,Divorced,89,17,84,0,1,Personal Auto,Personal L2,Offer1,Branch,427.2,Four-Door Car,Medsize
MD41042,Arizona,No,Basic,College,1/14/2011,Employed,F,39293,Urban,Married,74,17,48,0,6,Personal Auto,Personal L3,Offer2,Web,352.740946,Two-Door Car,Medsize
UP31333,Washington,Yes,Basic,College,1/21/2011,Employed,M,28432,Suburban,Married,118,1,59,0,2,Corporate Auto,Corporate L3,Offer2,Branch,612.300581,SUV,Small
UC35517,Oregon,No,Basic,College,1/22/2011,Unemployed,M,0,Suburban,Single,70,1,30,0,2,Corporate Auto,Corporate L3,Offer4,Branch,504,Four-Door Car,Small
HS89788,Arizona,No,Basic,High School or Below,1/11/2011,Unemployed,F,0,Suburban,Single,107,2,93,0,4,Personal Auto,Personal L1,Offer2,Branch,1166.754216,Sports Car,Medsize
SG82836,Oregon,No,Extended,High School or Below,1/14/2011,Employed,M,47412,Suburban,Married,81,10,39,0,7,Personal Auto,Personal L2,Offer1,Branch,421.824276,Two-Door Car,Small
VM50666,California,No,Basic,Doctor,1/11/2011,Unemployed,M,0,Suburban,Divorced,65,12,46,0,2,Special Auto,Special L3,Offer1,Branch,312,Four-Door Car,Large
MD70513,Washington,No,Basic,College,1/20/2011,Employed,M,68351,Suburban,Single,107,16,90,0,2,Personal Auto,Personal L2,Offer1,Branch,725.339771,SUV,Medsize
YX96463,Oregon,No,Basic,Bachelor,2/7/2011,Employed,F,58733,Suburban,Married,74,26,42,0,9,Corporate Auto,Corporate L2,Offer2,Call Center,355.2,Four-Door Car,Small
LH38387,Nevada,No,Extended,Bachelor,2/8/2011,Employed,F,58187,Rural,Married,95,18,39,0,2,Personal Auto,Personal L3,Offer4,Branch,76.73348,Two-Door Car,Medsize
BY59578,California,No,Extended,College,1/23/2011,Employed,M,63189,Suburban,Married,88,16,95,0,1,Personal Auto,Personal L3,Offer1,Agent,569.124597,Four-Door Car,Medsize
RN12107,Oregon,No,Premium,High School or Below,1/4/2011,Unemployed,F,0,Suburban,Single,254,23,55,0,1,Corporate Auto,Corporate L1,Offer1,Call Center,1828.8,Luxury Car,Medsize
MZ84108,Arizona,No,Extended,Bachelor,1/2/2011,Employed,M,44006,Urban,Single,130,18,26,0,4,Personal Auto,Personal L3,Offer1,Branch,494.664784,Sports Car,Medsize
JG68387,Nevada,No,Basic,Bachelor,1/27/2011,Employed,F,60932,Suburban,Married,101,7,35,0,3,Corporate Auto,Corporate L3,Offer1,Agent,484.8,SUV,Large
AQ94108,Oregon,No,Basic,College,2/26/2011,Employed,F,56704,Rural,Married,71,33,50,0,2,Corporate Auto,Corporate L3,Offer1,Branch,84.715044,Four-Door Car,Medsize
NE85389,Oregon,No,Basic,High School or Below,1/10/2011,Unemployed,F,0,Suburban,Married,74,12,72,1,2,Personal Auto,Personal L3,Offer2,Branch,355.2,Four-Door Car,Medsize
JQ35849,California,No,Basic,High School or Below,1/21/2011,Employed,M,24254,Suburban,Married,68,11,84,0,5,Personal Auto,Personal L3,Offer4,Agent,326.4,Four-Door Car,Medsize
QU93024,California,No,Extended,Bachelor,1/26/2011,Unemployed,M,0,Suburban,Single,128,15,37,0,2,Personal Auto,Personal L2,Offer1,Agent,1345.317161,SUV,Medsize
EQ90867,Oregon,No,Basic,College,2/19/2011,Employed,M,57125,Suburban,Divorced,68,13,99,0,3,Corporate Auto,Corporate L1,Offer1,Agent,326.4,Four-Door Car,Small
PG67485,Nevada,Yes,Basic,High School or Below,1/24/2011,Unemployed,M,0,Suburban,Married,119,9,8,0,3,Personal Auto,Personal L2,Offer2,Web,571.2,Sports Car,Medsize
OX62244,California,No,Basic,Bachelor,1/24/2011,Unemployed,M,0,Suburban,Single,64,17,84,0,9,Personal Auto,Personal L1,Offer1,Branch,307.2,Four-Door Car,Medsize
MW98508,Oregon,No,Basic,College,2/13/2011,Employed,F,72075,Rural,Married,73,32,1,2,1,Special Auto,Special L3,Offer2,Web,22.569825,Four-Door Car,Medsize
MM50888,Arizona,No,Extended,High School or Below,2/13/2011,Employed,F,34317,Urban,Married,78,6,32,2,1,Personal Auto,Personal L3,Offer2,Web,263.592181,Two-Door Car,Medsize
QZ19741,Oregon,No,Premium,College,1/3/2011,Employed,F,96745,Suburban,Married,179,14,25,5,3,Personal Auto,Personal L1,Offer2,Branch,859.2,SUV,Medsize
ET10831,Oregon,No,Basic,College,1/6/2011,Employed,M,95427,Suburban,Single,65,2,85,0,5,Personal Auto,Personal L1,Offer1,Call Center,442.808018,Four-Door Car,Medsize
OL72669,Arizona,No,Premium,Bachelor,2/7/2011,Unemployed,M,0,Suburban,Single,146,5,84,0,3,Corporate Auto,Corporate L3,Offer1,Call Center,1404.845849,SUV,Medsize
BM46418,Nevada,No,Basic,College,2/20/2011,Employed,M,30606,Urban,Married,71,11,7,0,1,Personal Auto,Personal L3,Offer2,Branch,253.04739,Two-Door Car,Medsize
VD78722,Oregon,Yes,Basic,College,2/20/2011,Employed,M,37876,Urban,Single,69,13,15,0,1,Personal Auto,Personal L2,Offer2,Agent,300.056383,Four-Door Car,Medsize
FL69981,California,No,Basic,Bachelor,2/23/2011,Unemployed,F,0,Suburban,Married,110,17,59,0,1,Personal Auto,Personal L3,Offer2,Call Center,528,SUV,Medsize
EG10175,California,No,Extended,Master,2/16/2011,Employed,F,57474,Urban,Divorced,97,21,44,0,3,Personal Auto,Personal L3,Offer1,Agent,280.037716,Two-Door Car,Large
WS60888,California,Yes,Basic,Bachelor,2/24/2011,Retired,M,22828,Suburban,Married,106,11,54,0,2,Personal Auto,Personal L2,Offer1,Agent,508.8,SUV,Medsize
LM58227,Oregon,No,Basic,High School or Below,1/14/2011,Employed,F,65096,Suburban,Married,67,3,81,3,8,Personal Auto,Personal L2,Offer1,Call Center,321.6,Four-Door Car,Medsize
IK49861,Oregon,No,Extended,Bachelor,2/23/2011,Unemployed,M,0,Rural,Married,88,1,66,0,1,Personal Auto,Personal L2,Offer2,Agent,87.135752,Two-Door Car,Medsize
RM87465,Arizona,Yes,Basic,High School or Below,2/26/2011,Employed,M,51066,Suburban,Single,74,23,0,0,8,Personal Auto,Personal L2,Offer2,Call Center,787.993313,Four-Door Car,Medsize
BY75330,California,No,Basic,Bachelor,1/15/2011,Employed,M,96866,Urban,Divorced,113,26,88,1,2,Personal Auto,Personal L2,Offer1,Agent,377.385724,SUV,Small
CF41619,Nevada,No,Basic,College,2/9/2011,Employed,M,20934,Suburban,Married,61,14,35,1,1,Personal Auto,Personal L3,Offer2,Branch,292.8,Four-Door Car,Small
ZZ54454,Nevada,No,Premium,Master,1/10/2011,Employed,M,32510,Suburban,Single,119,29,38,0,1,Personal Auto,Personal L2,Offer2,Agent,571.2,Two-Door Car,Small
CU84967,California,Yes,Basic,High School or Below,1/29/2011,Employed,F,58577,Urban,Married,110,6,62,0,1,Personal Auto,Personal L3,Offer1,Agent,303.872752,SUV,Medsize
UR56056,Oregon,No,Extended,Bachelor,2/6/2011,Employed,M,73268,Rural,Married,137,30,35,0,3,Personal Auto,Personal L3,Offer3,Agent,41.139806,SUV,Medsize
VN30344,California,No,Extended,College,1/22/2011,Unemployed,M,0,Suburban,Single,80,8,44,0,3,Personal Auto,Personal L3,Offer2,Agent,576,Four-Door Car,Small
YE67531,Oregon,Yes,Basic,High School or Below,2/4/2011,Retired,M,19683,Suburban,Married,117,17,41,1,9,Personal Auto,Personal L3,Offer1,Web,561.6,Sports Car,Medsize
EW67348,Nevada,Yes,Basic,College,1/31/2011,Employed,F,38713,Suburban,Divorced,66,31,69,4,6,Personal Auto,Personal L3,Offer2,Call Center,316.8,Four-Door Car,Medsize
PD69398,Washington,No,Extended,College,2/26/2011,Employed,M,62370,Rural,Married,94,4,10,2,2,Corporate Auto,Corporate L1,Offer2,Call Center,32.00761,Four-Door Car,Medsize
YT43943,California,No,Basic,High School or Below,2/17/2011,Employed,F,28476,Suburban,Divorced,62,3,76,0,1,Personal Auto,Personal L3,Offer2,Agent,297.6,Four-Door Car,Medsize
ON74557,California,No,Extended,Bachelor,1/6/2011,Employed,M,74915,Urban,Married,122,13,17,0,2,Personal Auto,Personal L2,Offer3,Branch,393.151377,SUV,Medsize
JL52508,Oregon,Yes,Extended,Doctor,1/30/2011,Employed,M,57709,Suburban,Married,125,10,26,0,1,Personal Auto,Personal L2,Offer2,Branch,600,SUV,Medsize
UI62725,Oregon,No,Basic,Bachelor,1/2/2011,Employed,M,94676,Suburban,Divorced,69,27,14,0,3,Corporate Auto,Corporate L3,Offer2,Agent,331.2,Four-Door Car,Medsize
LO75919,Arizona,No,Extended,Bachelor,1/1/2011,Employed,M,43543,Urban,Married,76,11,62,0,8,Personal Auto,Personal L3,Offer1,Call Center,339.255348,Two-Door Car,Medsize
SM62247,Nevada,No,Extended,High School or Below,1/24/2011,Employed,F,68297,Suburban,Single,212,6,42,3,2,Corporate Auto,Corporate L3,Offer2,Call Center,1272.487601,Luxury Car,Medsize
AF20716,Oregon,No,Basic,Bachelor,1/17/2011,Employed,M,74241,Rural,Married,61,21,57,0,1,Personal Auto,Personal L3,Offer2,Agent,138.588291,Two-Door Car,Medsize
LQ22609,Arizona,No,Extended,College,1/11/2011,Employed,F,61385,Rural,Married,86,25,35,0,1,Personal Auto,Personal L3,Offer2,Call Center,199.299449,Four-Door Car,Medsize
ZP80265,Oregon,No,Basic,Bachelor,1/11/2011,Unemployed,M,0,Suburban,Single,62,0,23,0,8,Personal Auto,Personal L3,Offer1,Agent,446.4,Two-Door Car,Large
BO87401,Nevada,Yes,Basic,College,2/21/2011,Unemployed,F,0,Suburban,Divorced,118,14,64,0,4,Personal Auto,Personal L1,Offer1,Agent,566.4,SUV,Medsize
